code,nb_communautes
01,358
02,370
03,190
04,102
06,1078
07,122
08,86
09,50
10,167
11,478
12,40
67,360
13,1942
14,174
15,11
16,105
17,427
18,111
19,45
corse,13
21,225
22,135
23,17
79,85
24,184
25,300
26,379
91,794
27,311
28,200
29,421
30,551
32,58
33,1222
971,42
973,13
68,445
31,950
43,30
52,73
70,89
74,511
87,110
05,34
65,56
92,411
34,866
35,421
36,115
37,326
38,844
39,90
40,129
41,188
42,375
44,1179
45,269
46,60
47,227
48,7
49,162
50,116
51,295
972,14
53,70
976,10
54,372
55,77
56,460
57,798
58,55
59,1867
60,643
61,52
75,242
62,910
63,457
64,185
66,560
974,13
69,716
71,220
72,131
73,94
77,1148
76,435
93,360
80,251
81,178
82,167
90,91
95,469
94,355
83,1381
84,721
85,231
86,231
88,109
89,169
78,1053
